LEVEL1,LEVEL2,LEVEL3,LEVEL4,TOOLTIP,SOURCE,SOURCE URL,2012,2013,2014,2015,2016,2017,LEVEL
Housing Development-Operatinging,Community Development,Interfund Transfers In/Out,To 751-Home Grant,,,,,,,241463,216721,215449,4
Housing Development-Operatinging,Community Development,Interfund Transfers In/Out Total,,,,,,31536,31807,295861,274158,471810,3
Housing Development-Operatinging,Community Development,Miscellaneous,Advertising,,,,4000,4000,4000,4000,4000,10000,4
Housing Development-Operatinging,Community Development,Miscellaneous,Licenses/Dues & Publications,,,,3300,3300,3640,3000,5000,3730,4
Housing Development-Operatinging,Community Development,Miscellaneous,Organization Dev & Training,,,,2255,1128,,,,,4
Housing Development-Operatinging,Community Development,Miscellaneous,Postage,,,,852,852,851,1500,1500,1500,4
Housing Development-Operatinging,Community Development,Miscellaneous,Records Storage Retention Svcs,,,,,2080,2150,1710,2000,2600,4
Housing Development-Operatinging,Community Development,Miscellaneous,Training & Travel & Reg,,,,5000,2500,17500,9000,15083,17874,4
Housing Development-Operatinging,Community Development,Miscellaneous Total,,,,,15407,13860,28141,19210,27583,35704,3
Housing Development-Operatinging,Community Development,Other Expense,Cap Improve/Repairs-Gr,,,,,,,150000,150000,150000,4
Housing Development-Operatinging,Community Development,Other Expense,Grant Expend Reimb,,,,-953804,,,,-975856,,4
Housing Development-Operatinging,Community Development,Other Expense,Homeowner Counsel/Assist - Gr,,,,,,,5000,5000,5000,4
Housing Development-Operatinging,Community Development,Other Expense,Insurance Other,,,,,,,15000,10000,5000,4
Housing Development-Operatinging,Community Development,Other Expense,Rehabilitation/Rehab Loans - G,,,,,,,5000,10000,10000,4
Housing Development-Operatinging,Community Development,Other Expense,Rental Insurance Expense,,,,,,,15000,15000,15000,4
Housing Development-Operatinging,Community Development,Other Expense,Service Fees - Gr,,,,,,,5000,5000,5000,4
Housing Development-Operatinging,Community Development,Other Expense,Sir Prop/Liab Claims,,,,,1243,,,,,4
Housing Development-Operatinging,Community Development,Other Expense,To Isf-Excess Prop/Liab Prem,,,,,2392,,,,,4
Housing Development-Operatinging,Community Development,Other Expense,To ISF-Prop/Liab Claims,,,,,,1972,,,,4
Housing Development-Operatinging,Community Development,Other Expense,To ISF-Prop/Liab Premium,,,,,,3793,,,,4
Housing Development-Operatinging,Community Development,Other Expense,To Isf-Sir Workers Comp,,,,12748,9028,5045,,,,4
Housing Development-Operatinging,Community Development,Other Expense,To ISF-WC Excess Premium,,,,,,351,,,,4
Housing Development-Operatinging,Community Development,Other Expense Total,,,,,-941056,12663,11161,195000,-780856,190000,3
Housing Development-Operatinging,Community Development,Salaries and Wages,Earnings Offset,,,,-6970,,,,,,4
Housing Development-Operatinging,Community Development,Salaries and Wages,Expense Allowance,,,,3922,3922,3922,3922,,,4
Housing Development-Operatinging,Community Development,Salaries and Wages,Longevity,,,,26750,13352,17469,12592,12283,7033,4
Housing Development-Operatinging,Community Development,Salaries and Wages,Merit Increase,,,,6970,23,105,109,,,4
Housing Development-Operatinging,Community Development,Salaries and Wages,Range Increase,,,,54,23,105,109,,,4
Housing Development-Operatinging,Community Development,Salaries and Wages,Salaries-Ft,,,,1330110,628079,1297983,1328504,1187085,483547,4
Housing Development-Operatinging,Community Development,Salaries and Wages,Salaries-Pt Temp/Seasonal,,,,35000,6000,20000,15000,40000,35000,4
Housing Development-Operatinging,Community Development,Salaries and Wages,Salary Reserve,,,,,,-662973,-1,,,4
Housing Development-Operatinging,Community Development,Salaries and Wages Total,,,,,1395836,651399,676611,1360235,1239368,525580,3
Housing Development-Operatinging,Community Development Total,,,,,,1000654,1083483,1225229,1545031,1343628,1587557,2
Housing Development-Operatinging Tota,,,,,,,1000654,1083483,1225229,1545031,1343628,1587557,1
Housing Development-Projects,Community Development,Direct Expenses,Property Maintenance,,,,58000,49980,58000,,,,4
Housing Development-Projects,Community Development,Direct Expenses,Recycling Fees,,,,,320,320,,,,4
Housing Development-Projects,Community Development,Direct Expenses,Solid Waste Disposal Fees,,,,,900,900,,,,4
Housing Development-Projects,Community Development,Direct Expenses Total,,,,,58000,51200,59220,,,,3
Housing Development-Projects,Community Development,Interfund Transfers In/Out,To 100 General Fd,,,,,,,500000,,,4
Housing Development-Projects,Community Development,Interfund Transfers In/Out,To 190 Debt Svc,,,,62717,62717,62717,,,,4
Housing Development-Projects,Community Development,Interfund Transfers In/Out,To 310 W/S Reimb,,,,,2400,2736,,,,4
Housing Development-Projects,Community Development,Interfund Transfers In/Out,To 460 Reimb Engineering Stm W,,,,500,4400,4400,,,,4
Housing Development-Projects,Community Development,Interfund Transfers In/Out Total,,,,,63217,69517,69853,500000,,,3
Housing Development-Projects,Community Development,Other Expense,Cap Improve/Repairs-Gr,,,,150000,150000,150000,,,,4
Housing Development-Projects,Community Development,Other Expense,Grant Match City Share,,,,356581,289132,,,,,4
Housing Development-Projects,Community Development,Other Expense,Homeowner Counsel/Assist - Gr,,,,10000,10000,12000,,,,4
Housing Development-Projects,Community Development,Other Expense,Insurance Other,,,,15000,15000,15000,,,,4
Housing Development-Projects,Community Development,Other Expense,Rehabilitation/Rehab Loans - G,,,,10500,10500,10500,,,,4
Housing Development-Projects,Community Development,Other Expense,Rental Insurance Expense,,,,15000,15000,15000,,,,4
Housing Development-Projects,Community Development,Other Expense,Service Fees - Gr,,,,5000,5000,5000,,,,4
Housing Development-Projects,Community Development,Other Expense Total,,,,,562081,494632,207500,,,,3
Housing Development-Projects,Community Development Total,,,,,,683298,615349,336573,500000,,,2
Housing Development-Projects Total,,,,,,,683298,615349,336573,500000,,,1
NCHFA/Job Training Grant,Community Development,Other Expense,Program Expenditures - Gr,,,,67000,,,,,,4
NCHFA/Job Training Grant,Community Development,Other Expense Total,,,,,67000,,,,,,3
NCHFA/Job Training Grant,Community Development Total,,,,,,67000,,,,,,2
NCHFA/Job Training Grant Total,,,,,,,67000,,,,,,1
Parking Debt Service Fund,Treasury Office,Capital Project Expense,Biannual Budget Reserve,,,,,117021,272068,379000,4329,99028,4
Parking Debt Service Fund,Treasury Office,Capital Project Expense,Bond Interest,,,,3463948,3361950,3234422,2914000,2735557,2687797,4
Parking Debt Service Fund,Treasury Office,Capital Project Expense,Bond Principal,,,,3747597,3751029,3848510,3912000,3765114,3818175,4
Parking Debt Service Fund,Treasury Office,Capital Project Expense Total,,,,,7211545,7230000,7355000,7205000,6505000,6605000,3
Parking Debt Service Fund,Treasury Office,Direct Expenses,Arbitrage Rebate Consult,,,,10000,10000,10000,10000,10000,10000,4
Parking Debt Service Fund,Treasury Office,Direct Expenses,Bond Liquidity Fees,,,,285000,285000,255000,255000,255000,275000,4
Parking Debt Service Fund,Treasury Office,Direct Expenses,Bond Re-Marketing Fees,,,,40000,40000,40000,40000,40000,50000,4
Parking Debt Service Fund,Treasury Office,Direct Expenses,Bond Sale Services,,,,100000,100000,25000,25000,25000,25000,4
Parking Debt Service Fund,Treasury Office,Direct Expenses,Financial Advisor,,,,50000,50000,15000,15000,15000,15000,4
Parking Debt Service Fund,Treasury Office,Direct Expenses,Professional Svcs-Other,,,,20000,20000,20000,20000,20000,20000,4
Parking Debt Service Fund,Treasury Office,Direct Expenses,Trustee Escrow Agent Expense,,,,50000,50000,15000,15000,15000,15000,4
Parking Debt Service Fund,Treasury Office,Direct Expenses Total,,,,,555000,555000,380000,380000,380000,410000,3
Parking Debt Service Fund,Treasury Office,Interfund Transfers In/Out,To 260-Isf Vehicle Fleet Servi,,,,,140000,140000,140000,140000,140000,4
Parking Debt Service Fund,Treasury Office,Interfund Transfers In/Out Total,,,,,,140000,140000,140000,140000,140000,3
Parking Debt Service Fund,Treasury Office Total,,,,,,7766545,7925000,7875000,7725000,7025000,7155000,2
Parking Debt Service Fund Total,,,,,,,7766545,7925000,7875000,7725000,7025000,7155000,1
Parking Facilities Fund-Operating,Parking Operatingions,Capital Equipment,Communications Equip,,,,700,250,1300,1810,1500,,4
Parking Facilities Fund-Operating,Parking Operatingions,Capital Equipment,Office Furniture & Equip,,,,17000,14450,14000,26200,,,4
Parking Facilities Fund-Operating,Parking Operatingions,Capital Equipment Total,,,,,17700,14700,15300,28010,1500,,3
Parking Facilities Fund-Operating,Parking Operatingions,Direct Expenses,Cellular/Wireless Voice Lines,,,,3192,5700,5200,7068,7412,,4
Parking Facilities Fund-Operating,Parking Operatingions,Direct Expenses,Computer Lease,,,,9973,10436,9200,8991,8829,,4
Parking Facilities Fund-Operating,Parking Operatingions,Direct Expenses,Computer Operatingions & Access,,,,36000,34000,34000,34000,34000,,4
Parking Facilities Fund-Operating,Parking Operatingions,Direct Expenses,Contractual Svcs-Other,,,,2066692,2213918,2522188,2774650,4176382,,4
Parking Facilities Fund-Operating,Parking Operatingions,Direct Expenses,Copier Maintenance/Impressions,,,,2650,3500,4300,3400,3400,,4
Parking Facilities Fund-Operating,Parking Operatingions,Direct Expenses,Credit Card Fees,,,,171200,160000,179500,193000,215000,,4
Parking Facilities Fund-Operating,Parking Operatingions,Direct Expenses,Electric Service,,,,565000,602260,671800,573000,589500,,4
Parking Facilities Fund-Operating,Parking Operatingions,Direct Expenses,Equipment Usage Charge,,,,25720,7300,24700,34130,38490,,4
Parking Facilities Fund-Operating,Parking Operatingions,Direct Expenses,Motor Fuels & Lubricants,,,,21961,30682,31484,39696,33622,,4
Parking Facilities Fund-Operating,Parking Operatingions,Direct Expenses,Office Supplies,,,,5370,5680,5700,5900,5900,,4
Parking Facilities Fund-Operating,Parking Operatingions,Direct Expenses,Operatingional & Maint Supplies,,,,157328,112463,118112,137500,143200,,4
Parking Facilities Fund-Operating,Parking Operatingions,Direct Expenses,Photocopy Maint,,,,12500,5900,2600,2600,2600,,4
Parking Facilities Fund-Operating,Parking Operatingions,Direct Expenses,POA Dues,,,,,,,,78300,,4
Parking Facilities Fund-Operating,Parking Operatingions,Direct Expenses,Print Copy-Rmb,,,,50000,38274,39100,39100,40000,,4
Parking Facilities Fund-Operating,Parking Operatingions,Direct Expenses,Rental-Real Property,,,,260894,245770,255300,261100,265030,,4
Parking Facilities Fund-Operating,Parking Operatingions,Direct Expenses,Repairs-Bldg/Structure,,,,185000,180000,215000,215000,215000,,4
Parking Facilities Fund-Operating,Parking Operatingions,Direct Expenses,Rsv-Other,,,,,,150048,,,,4
Parking Facilities Fund-Operating,Parking Operatingions,Direct Expenses,Rsv-Wide Area Network,,,,5026,5628,3600,3600,3600,,4
Parking Facilities Fund-Operating,Parking Operatingions,Direct Expenses,Service Contracts-Other,,,,179720,160459,173600,148100,152940,,4
Parking Facilities Fund-Operating,Parking Operatingions,Direct Expenses,Small Equipment,,,,4440,3570,4100,4100,4100,,4
Parking Facilities Fund-Operating,Parking Operatingions,Direct Expenses,Telephone/Comm (Hard Lines),,,,11635,17036,10200,10300,10325,,4
Parking Facilities Fund-Operating,Parking Operatingions,Direct Expenses,Uniforms,,,,8121,9171,11700,11700,12000,,4
Parking Facilities Fund-Operating,Parking Operatingions,Direct Expenses,Vehicle Maint & Operatingion,,,,32829,32829,54900,62711,64160,,4
Parking Facilities Fund-Operating,Parking Operatingions,Direct Expenses,Wan Data Line,,,,45935,55905,106972,45200,45200,,4
Parking Facilities Fund-Operating,Parking Operatingions,Direct Expenses,Wireless Data Comm,,,,2160,720,700,1200,1200,,4
Parking Facilities Fund-Operating,Parking Operatingions,Direct Expenses Total,,,,,3863346,3941201,4634004,4616046,6150190,,3
Parking Facilities Fund-Operating,Parking Operatingions,Employee Benefits,457 Plan Offset,,,,-5834,,,,,,4
Parking Facilities Fund-Operating,Parking Operatingions,Employee Benefits,Dental Insurance,,,,14296,15113,14314,16720,19629,,4
Parking Facilities Fund-Operating,Parking Operatingions,Employee Benefits,Dental Insurance Increment,,,,,266,,,-1632,,4
Parking Facilities Fund-Operating,Parking Operatingions,Employee Benefits,FICA Temp,,,,3520,3985,4129,4113,4113,,4
Parking Facilities Fund-Operating,Parking Operatingions,Employee Benefits,Group Life AD & D (Retiree),,,,,1117,,,,,4
Parking Facilities Fund-Operating,Parking Operatingions,Employee Benefits,Group Life Ad & Di,,,,1046,993,1069,1257,1250,,4
Parking Facilities Fund-Operating,Parking Operatingions,Employee Benefits,Health Insurance,,,,227180,234128,225384,210156,218268,,4
Parking Facilities Fund-Operating,Parking Operatingions,Employee Benefits,Health Insurance (Retiree),,,,,84571,,,6444,,4
Parking Facilities Fund-Operating,Parking Operatingions,Employee Benefits,Health Insurance Increment,,,,-15575,-35661,-31307,-11648,-16414,,4
Parking Facilities Fund-Operating,Parking Operatingions,Employee Benefits,Medicare,,,,16844,16383,17219,20251,20140,,4
Parking Facilities Fund-Operating,Parking Operatingions,Employee Benefits,Medicare Supplement,,,,,4365,,,,,4
Parking Facilities Fund-Operating,Parking Operatingions,Employee Benefits,Medicare Temp,,,,823,932,966,962,962,,4
Parking Facilities Fund-Operating,Parking Operatingions,Employee Benefits,Opeb- Post Employment Benefits,,,,26183,12670,39675,98116,96329,,4
Parking Facilities Fund-Operating,Parking Operatingions,Employee Benefits,Police 401K Temp,,,,,3198,,,,,4
Parking Facilities Fund-Operating,Parking Operatingions,Employee Benefits,Retirement,,,,80293,74377,83965,98798,97227,,4
Parking Facilities Fund-Operating,Parking Operatingions,Employee Benefits,Retirement Temp,,,,3489,4820,4608,4722,4722,,4
Parking Facilities Fund-Operating,Parking Operatingions,Employee Benefits,Social Security,,,,72025,70052,73632,86594,86115,,4
Parking Facilities Fund-Operating,Parking Operatingions,Employee Benefits,Supplemental Retirement,,,,17513,11766,12108,21736,21052,,4
Parking Facilities Fund-Operating,Parking Operatingions,Employee Benefits,Unemployment,,,,,,5279,,,,4
Parking Facilities Fund-Operating,Parking Operatingions,Employee Benefits Total,,,,,441803,503075,451041,551777,558205,,3
Parking Facilities Fund-Operating,Parking Operatingions,Interfund Transfers In/Out,To 100 Ind Cost,,,,,,516229,533115,504556,,4
Parking Facilities Fund-Operating,Parking Operatingions,Interfund Transfers In/Out,To 100 Reimb Parking Ind Costs,,,,540734,506135,,,,,4
Parking Facilities Fund-Operating,Parking Operatingions,Interfund Transfers In/Out,To 310 W/S Reimb,,,,5620,5620,10500,12500,14500,,4
Parking Facilities Fund-Operating,Parking Operatingions,Interfund Transfers In/Out,To 444 Parking Debt Service,,,,5709202,7900000,7300000,7700000,7000000,,4
Parking Facilities Fund-Operating,Parking Operatingions,Interfund Transfers In/Out,To 446 Parking Facilities Fund,,,,275000,405000,640000,670000,1718000,,4
Parking Facilities Fund-Operating,Parking Operatingions,Interfund Transfers In/Out,To 460 Reimb Engineering Stm W,,,,10304,10304,14000,10000,10770,,4
Parking Facilities Fund-Operating,Parking Operatingions,Interfund Transfers In/Out,To 501 ERP Debt Service,,,,,16127,14607,14369,14131,,4
Parking Facilities Fund-Operating,Parking Operatingions,Interfund Transfers In/Out,To 501 Technology Cap Proj,,,,,,,,5588,,4
Parking Facilities Fund-Operating,Parking Operatingions,Interfund Transfers In/Out,To 642 Civic Ctr Renov,,,,74419,,,,,,4
Parking Facilities Fund-Operating,Parking Operatingions,Interfund Transfers In/Out Total,,,,,6615279,8843186,8495336,8939984,9267545,,3
Parking Facilities Fund-Operating,Parking Operatingions,Miscellaneous,"Govt Taxes, Fees & Fines",,,,378587,188558,192100,192100,192100,,4
Parking Facilities Fund-Operating,Parking Operatingions,Miscellaneous,Licenses/Dues & Publications,,,,850,869,900,900,900,,4
Parking Facilities Fund-Operating,Parking Operatingions,Miscellaneous,Postage,,,,38500,38500,39400,39400,39400,,4
Parking Facilities Fund-Operating,Parking Operatingions,Miscellaneous,Training & Travel & Reg,,,,3140,3000,3000,3700,3850,,4
Parking Facilities Fund-Operating,Parking Operatingions,Miscellaneous Total,,,,,421077,230927,235400,236100,236250,,3
Parking Facilities Fund-Operating,Parking Operatingions,Other Expense,Penalty Pmts Due Wcpss (90% Of,,,,27940,44100,44100,42000,40000,,4
Parking Facilities Fund-Operating,Parking Operatingions,Other Expense,Refunds,,,,,,1500,1500,1500,,4
Parking Facilities Fund-Operating,Parking Operatingions,Other Expense,To Isf-Excess Prop/Liab Prem,,,,,4820,,,,,4
Parking Facilities Fund-Operating,Parking Operatingions,Other Expense,To ISF-Prop/Liab Claims,,,,,,14335,17125,11210,,4
Parking Facilities Fund-Operating,Parking Operatingions,Other Expense,To ISF-Prop/Liab Premium,,,,,,9746,82303,76463,,4
Parking Facilities Fund-Operating,Parking Operatingions,Other Expense,To Isf-Sir Workers Comp,,,,61060,37790,40652,35695,47418,,4
Parking Facilities Fund-Operating,Parking Operatingions,Other Expense,To ISF-WC Excess Premium,,,,,,2831,3284,4044,,4
Parking Facilities Fund-Operating,Parking Operatingions,Other Expense Total,,,,,89000,86710,113164,181907,180635,,3
Parking Facilities Fund-Operating,Parking Operatingions,Salaries and Wages,Earnings Offset,,,,-8608,,,380,,,4
Parking Facilities Fund-Operating,Parking Operatingions,Salaries and Wages,Expense Allowance,,,,504,2280,2328,2532,2532,,4
Parking Facilities Fund-Operating,Parking Operatingions,Salaries and Wages,Holiday Pay,,,,307,307,307,307,307,,4
Parking Facilities Fund-Operating,Parking Operatingions,Salaries and Wages,Longevity,,,,6348,3829,3875,6033,11885,,4
Parking Facilities Fund-Operating,Parking Operatingions,Salaries and Wages,Merit Increase,,,,8608,31,89,98,,,4
Parking Facilities Fund-Operating,Parking Operatingions,Salaries and Wages,Range Increase,,,,49,31,89,98,,,4
Parking Facilities Fund-Operating,Parking Operatingions,Salaries and Wages,Salaries-Ft,,,,1146675,1125954,1183573,1390450,1377067,,4
Parking Facilities Fund-Operating,Parking Operatingions,Salaries and Wages,Salaries-Ot For Ft Staff,,,,55960,63960,63960,63500,63500,,4
Parking Facilities Fund-Operating,Parking Operatingions,Salaries and Wages Total,,,,,1209843,1196392,1254221,1463398,1455291,,3
Parking Facilities Fund-Operating,Parking Operatingions Total,,,,,,12658048,14816191,15198466,16017222,17849616,,2
Parking Facilities Fund-Operating,Parking Operatingions -Trans Svcs,Capital Equipment,Communications Equip,,,,,,,,,1500,4
Parking Facilities Fund-Operating,Parking Operatingions -Trans Svcs,Capital Equipment,Office Furniture & Equip,,,,,,,,,10000,4
Parking Facilities Fund-Operating,Parking Operatingions -Trans Svcs,Capital Equipment Total,,,,,,,,,,11500,3
Parking Facilities Fund-Operating,Parking Operatingions -Trans Svcs,Direct Expenses,Cellular/Wireless Voice Lines,,,,,,,,,7800,4
Parking Facilities Fund-Operating,Parking Operatingions -Trans Svcs,Direct Expenses,Computer Lease,,,,,,,,,8966,4
Parking Facilities Fund-Operating,Parking Operatingions -Trans Svcs,Direct Expenses,Computer Operatingions & Access,,,,,,,,,34000,4
Parking Facilities Fund-Operating,Parking Operatingions -Trans Svcs,Direct Expenses,Contractual Svcs-Other,,,,,,,,,3326901,4
Parking Facilities Fund-Operating,Parking Operatingions -Trans Svcs,Direct Expenses,Copier Maintenance/Impressions,,,,,,,,,3400,4
Parking Facilities Fund-Operating,Parking Operatingions -Trans Svcs,Direct Expenses,Credit Card Fees,,,,,,,,,215000,4
Parking Facilities Fund-Operating,Parking Operatingions -Trans Svcs,Direct Expenses,Electric Service,,,,,,,,,607135,4
Parking Facilities Fund-Operating,Parking Operatingions -Trans Svcs,Direct Expenses,Equipment Usage Charge,,,,,,,,,38490,4
Parking Facilities Fund-Operating,Parking Operatingions -Trans Svcs,Direct Expenses,Motor Fuels & Lubricants,,,,,,,,,33672,4
Parking Facilities Fund-Operating,Parking Operatingions -Trans Svcs,Direct Expenses,Office Supplies,,,,,,,,,5900,4
Parking Facilities Fund-Operating,Parking Operatingions -Trans Svcs,Direct Expenses,Operatingional & Maint Supplies,,,,,,,,,148200,4
Parking Facilities Fund-Operating,Parking Operatingions -Trans Svcs,Direct Expenses,Photocopy Maint,,,,,,,,,2600,4
Parking Facilities Fund-Operating,Parking Operatingions -Trans Svcs,Direct Expenses,POA Dues,,,,,,,,,100960,4
Parking Facilities Fund-Operating,Parking Operatingions -Trans Svcs,Direct Expenses,Print Copy-Rmb,,,,,,,,,40000,4
Parking Facilities Fund-Operating,Parking Operatingions -Trans Svcs,Direct Expenses,Rental-Real Property,,,,,,,,,267600,4
Parking Facilities Fund-Operating,Parking Operatingions -Trans Svcs,Direct Expenses,Repairs-Bldg/Structure,,,,,,,,,215000,4
Parking Facilities Fund-Operating,Parking Operatingions -Trans Svcs,Direct Expenses,Rsv-Wide Area Network,,,,,,,,,3600,4
Parking Facilities Fund-Operating,Parking Operatingions -Trans Svcs,Direct Expenses,Service Contracts-Other,,,,,,,,,186600,4
Parking Facilities Fund-Operating,Parking Operatingions -Trans Svcs,Direct Expenses,Small Equipment,,,,,,,,,4100,4
Parking Facilities Fund-Operating,Parking Operatingions -Trans Svcs,Direct Expenses,Telephone/Comm (Hard Lines),,,,,,,,,16700,4
Parking Facilities Fund-Operating,Parking Operatingions -Trans Svcs,Direct Expenses,Uniforms,,,,,,,,,12250,4
Parking Facilities Fund-Operating,Parking Operatingions -Trans Svcs,Direct Expenses,Vehicle Maint & Operatingion,,,,,,,,,64160,4
Parking Facilities Fund-Operating,Parking Operatingions -Trans Svcs,Direct Expenses,Wan Data Line,,,,,,,,,46200,4
Parking Facilities Fund-Operating,Parking Operatingions -Trans Svcs,Direct Expenses,Wireless Data Comm,,,,,,,,,1200,4
Parking Facilities Fund-Operating,Parking Operatingions -Trans Svcs,Direct Expenses Total,,,,,,,,,,5390434,3
Parking Facilities Fund-Operating,Parking Operatingions -Trans Svcs,Employee Benefits,Dental Insurance,,,,,,,,,19717,4
Parking Facilities Fund-Operating,Parking Operatingions -Trans Svcs,Employee Benefits,FICA Temp,,,,,,,,,4113,4
Parking Facilities Fund-Operating,Parking Operatingions -Trans Svcs,Employee Benefits,Group Life Ad & Di,,,,,,,,,1379,4
Parking Facilities Fund-Operating,Parking Operatingions -Trans Svcs,Employee Benefits,Health Insurance,,,,,,,,,226953,4
Parking Facilities Fund-Operating,Parking Operatingions -Trans Svcs,Employee Benefits,Health Insurance (Retiree),,,,,,,,,32247,4
Parking Facilities Fund-Operating,Parking Operatingions -Trans Svcs,Employee Benefits,Health Insurance Increment,,,,,,,,,16262,4
Parking Facilities Fund-Operating,Parking Operatingions -Trans Svcs,Employee Benefits,Medicare,,,,,,,,,22222,4
Parking Facilities Fund-Operating,Parking Operatingions -Trans Svcs,Employee Benefits,Medicare Temp,,,,,,,,,962,4
Parking Facilities Fund-Operating,Parking Operatingions -Trans Svcs,Employee Benefits,Opeb- Post Employment Benefits,,,,,,,,,70000,4
Parking Facilities Fund-Operating,Parking Operatingions -Trans Svcs,Employee Benefits,Retirement,,,,,,,,,111052,4
Parking Facilities Fund-Operating,Parking Operatingions -Trans Svcs,Employee Benefits,Retirement Temp,,,,,,,,,2502,4
Parking Facilities Fund-Operating,Parking Operatingions -Trans Svcs,Employee Benefits,Social Security,,,,,,,,,95018,4
Parking Facilities Fund-Operating,Parking Operatingions -Trans Svcs,Employee Benefits,Supplemental Retirement,,,,,,,,,21797,4
Parking Facilities Fund-Operating,Parking Operatingions -Trans Svcs,Employee Benefits Total,,,,,,,,,,624223,3
Parking Facilities Fund-Operating,Parking Operatingions -Trans Svcs,Interfund Transfers In/Out,To 100 Ind Cost,,,,,,,,,580085,4
Parking Facilities Fund-Operating,Parking Operatingions -Trans Svcs,Interfund Transfers In/Out,To 251 Equip Replacement-Gen G,,,,,,,,,500000,4
Parking Facilities Fund-Operating,Parking Operatingions -Trans Svcs,Interfund Transfers In/Out,To 310 W/S Reimb,,,,,,,,,15100,4
Parking Facilities Fund-Operating,Parking Operatingions -Trans Svcs,Interfund Transfers In/Out,To 444 Parking Debt Service,,,,,,,,,6200000,4
Parking Facilities Fund-Operating,Parking Operatingions -Trans Svcs,Interfund Transfers In/Out,To 446 Parking Facilities Fund,,,,,,,,,812000,4
Parking Facilities Fund-Operating,Parking Operatingions -Trans Svcs,Interfund Transfers In/Out,To 460 Reimb Engineering Stm W,,,,,,,,,11200,4
Parking Facilities Fund-Operating,Parking Operatingions -Trans Svcs,Interfund Transfers In/Out,To 501 ERP Debt Service,,,,,,,,,13893,4
Parking Facilities Fund-Operating,Parking Operatingions -Trans Svcs,Interfund Transfers In/Out,To 501 Technology Cap Proj,,,,,,,,,17438,4
Parking Facilities Fund-Operating,Parking Operatingions -Trans Svcs,Interfund Transfers In/Out Total,,,,,,,,,,8149716,3
Parking Facilities Fund-Operating,Parking Operatingions -Trans Svcs,Miscellaneous,"Govt Taxes, Fees & Fines",,,,,,,,,200000,4
Parking Facilities Fund-Operating,Parking Operatingions -Trans Svcs,Miscellaneous,Licenses/Dues & Publications,,,,,,,,,900,4
Parking Facilities Fund-Operating,Parking Operatingions -Trans Svcs,Miscellaneous,Postage - Dept Charges,,,,,,,,,3000,4
Parking Facilities Fund-Operating,Parking Operatingions -Trans Svcs,Miscellaneous,Training & Travel & Reg,,,,,,,,,5000,4
Parking Facilities Fund-Operating,Parking Operatingions -Trans Svcs,Miscellaneous Total,,,,,,,,,,208900,3
Parking Facilities Fund-Operating,Parking Operatingions -Trans Svcs,Other Expense,Penalty Pmts Due Wcpss (90% Of,,,,,,,,,40000,4
Parking Facilities Fund-Operating,Parking Operatingions -Trans Svcs,Other Expense,Refunds,,,,,,,,,1500,4
Parking Facilities Fund-Operating,Parking Operatingions -Trans Svcs,Other Expense,To ISF-Prop/Liab Claims,,,,,,,,,10571,4
Parking Facilities Fund-Operating,Parking Operatingions -Trans Svcs,Other Expense,To ISF-Prop/Liab Premium,,,,,,,,,75802,4
Parking Facilities Fund-Operating,Parking Operatingions -Trans Svcs,Other Expense,To Isf-Sir Workers Comp,,,,,,,,,51192,4
Parking Facilities Fund-Operating,Parking Operatingions -Trans Svcs,Other Expense,To ISF-WC Excess Premium,,,,,,,,,4476,4
Parking Facilities Fund-Operating,Parking Operatingions -Trans Svcs,Other Expense Total,,,,,,,,,,183541,3
Parking Facilities Fund-Operating,Parking Operatingions -Trans Svcs,Salaries and Wages,Expense Allowance,,,,,,,,,2532,4
Parking Facilities Fund-Operating,Parking Operatingions -Trans Svcs,Salaries and Wages,Holiday Pay,,,,,,,,,307,4
Parking Facilities Fund-Operating,Parking Operatingions -Trans Svcs,Salaries and Wages,Longevity,,,,,,,,,12407,4
Parking Facilities Fund-Operating,Parking Operatingions -Trans Svcs,Salaries and Wages,Salaries-Ft,,,,,,,,,1520137,4
Parking Facilities Fund-Operating,Parking Operatingions -Trans Svcs,Salaries and Wages,Salaries-Ot For Ft Staff,,,,,,,,,63500,4
Parking Facilities Fund-Operating,Parking Operatingions -Trans Svcs,Salaries and Wages Total,,,,,,,,,,1598882,3
Parking Facilities Fund-Operating,Parking Operatingions -Trans Svcs Tot,,,,,,,,,,,16167197,2
Parking Facilities Fund-Operating Tot,,,,,,,12658048,14816191,15198466,16017222,17849616,16167197,1
Public Transit Fund-Operatinging,Accessible Rail Tran-Tran Svcs,Direct Expenses,Contractual Svcs-Other,,,,,,,,,7922440,4
Public Transit Fund-Operatinging,Accessible Rail Tran-Tran Svcs,Direct Expenses,Office Supplies,,,,,,,,,5000,4
Public Transit Fund-Operatinging,Accessible Rail Tran-Tran Svcs,Direct Expenses,Print Copy-Rmb,,,,,,,,,1500,4
Public Transit Fund-Operatinging,Accessible Rail Tran-Tran Svcs,Direct Expenses,Professional Svcs-Other,,,,,,,,,212976,4
Public Transit Fund-Operatinging,Accessible Rail Tran-Tran Svcs,Direct Expenses Total,,,,,,,,,,8141916,3
Public Transit Fund-Operatinging,Accessible Rail Tran-Tran Svcs,Employee Benefits,Dental Insurance,,,,,,,,,4317,4
Public Transit Fund-Operatinging,Accessible Rail Tran-Tran Svcs,Employee Benefits,FICA Temp,,,,,,,,,1002,4
