Fund,Department,Type,Account,Current,Amount,Revenue,Annotation
Public Transit Fund-Operating,Accessible Raleigh Transit,Employee Benefits,FICA Temp,,-1001.92,FALSE,0
Public Transit Fund-Operating,Accessible Raleigh Transit,Employee Benefits,Group Life Ad & Di,,-215.96,FALSE,0
Public Transit Fund-Operating,Accessible Raleigh Transit,Employee Benefits,Health Insurance,,-60033.12,FALSE,0
Public Transit Fund-Operating,Accessible Raleigh Transit,Employee Benefits,Health Insurance Increment,,4514.49,FALSE,0
Public Transit Fund-Operating,Accessible Raleigh Transit,Employee Benefits,Medicare,,-3479.32,FALSE,0
Public Transit Fund-Operating,Accessible Raleigh Transit,Employee Benefits,Medicare Temp,,-234.32,FALSE,0
Public Transit Fund-Operating,Accessible Raleigh Transit,Employee Benefits,Retirement,,-16816.01,FALSE,0
Public Transit Fund-Operating,Accessible Raleigh Transit,Employee Benefits,Social Security,,-14877.11,FALSE,0
Public Transit Fund-Operating,Accessible Raleigh Transit,Employee Benefits,Supplemental Retirement,,-5528.43,FALSE,0
Public Transit Fund-Operating,Accessible Raleigh Transit,Other Expense,To ISF-Prop/Liab Claims,,-4389,FALSE,0
Public Transit Fund-Operating,Accessible Raleigh Transit,Other Expense,To ISF-Prop/Liab Premium,,-3928,FALSE,0
Public Transit Fund-Operating,Accessible Raleigh Transit,Other Expense,To Isf-Sir Workers Comp,,-2484,FALSE,0
Public Transit Fund-Operating,Accessible Raleigh Transit,Other Expense,To ISF-WC Excess Premium,,-213,FALSE,0
Public Transit Fund-Operating,Accessible Raleigh Transit,Salaries and Wages,Longevity,,-5232.28,FALSE,0
Public Transit Fund-Operating,Accessible Raleigh Transit,Salaries and Wages,Salaries-Ft,,-234720.99,FALSE,0
Public Transit Fund-Operating,Accessible Raleigh Transit,Salaries and Wages,Salaries-Pt Temp/Seasonal,,-16160,FALSE,0
Public Transit Fund-Operating,Transit Operations,Direct Expenses,Contractual Svcs-Other,,-1006022,FALSE,0
Public Transit Fund-Operating,Transit Operations,Direct Expenses,Copier Maintenance/Impressions,,-1850,FALSE,0
Public Transit Fund-Operating,Transit Operations,Direct Expenses,Management Services,,-385056,FALSE,0
Public Transit Fund-Operating,Transit Operations,Direct Expenses,Motor Fuels & Lubricants,,-537,FALSE,0
Public Transit Fund-Operating,Transit Operations,Direct Expenses,Office Supplies,,-2001,FALSE,0
Public Transit Fund-Operating,Transit Operations,Direct Expenses,Photocopy Maint,,-1950,FALSE,0
Public Transit Fund-Operating,Transit Operations,Direct Expenses,Print Copy-Rmb,,-1500,FALSE,0
Public Transit Fund-Operating,Transit Operations,Direct Expenses,Professional Svcs-Other,,-2600,FALSE,0
Public Transit Fund-Operating,Transit Operations,Direct Expenses,Vehicle Maint & Operation,,-2000,FALSE,0
Public Transit Fund-Operating,Transit Operations,Direct Expenses,Wan Data Line,,-8943,FALSE,0
Public Transit Fund-Operating,Transit Operations,Direct Expenses,Wireless Data Comm,,-3444,FALSE,0
Public Transit Fund-Operating,Transit Operations,Employee Benefits,Dental Insurance,,-1254.24,FALSE,0
Public Transit Fund-Operating,Transit Operations,Employee Benefits,Dental Insurance Increment,,104.35,FALSE,0
Public Transit Fund-Operating,Transit Operations,Employee Benefits,FICA Temp,,-167.46,FALSE,0
Public Transit Fund-Operating,Transit Operations,Employee Benefits,Group Life Ad & Di,,-160.26,FALSE,0
Public Transit Fund-Operating,Transit Operations,Employee Benefits,Health Insurance,,-13608,FALSE,0
Public Transit Fund-Operating,Transit Operations,Employee Benefits,Health Insurance (Retiree),,-28884,FALSE,0
Public Transit Fund-Operating,Transit Operations,Employee Benefits,Health Insurance Increment,,1023.32,FALSE,0
Public Transit Fund-Operating,Transit Operations,Employee Benefits,Medicare,,-2581.79,FALSE,0
Public Transit Fund-Operating,Transit Operations,Employee Benefits,Medicare Supplement,,-2400,FALSE,0
Public Transit Fund-Operating,Transit Operations,Employee Benefits,Medicare Temp,,-39.16,FALSE,0
Public Transit Fund-Operating,Transit Operations,Employee Benefits,Retirement,,-12463.84,FALSE,0
Public Transit Fund-Operating,Transit Operations,Employee Benefits,Social Security,,-11039.4,FALSE,0
Public Transit Fund-Operating,Transit Operations,Employee Benefits,Supplemental Retirement,,-3605.76,FALSE,0
Public Transit Fund-Operating,Transit Operations,Interfund Transfers In/Out,To 100 Ind Cost,,-466567,FALSE,0
Public Transit Fund-Operating,Transit Operations,Interfund Transfers In/Out,To 310 W/S Reimb,,-32563,FALSE,0
Public Transit Fund-Operating,Transit Operations,Interfund Transfers In/Out,To 460 Reimb Engineering Stm W,,-73637,FALSE,0
Public Transit Fund-Operating,Transit Operations,Interfund Transfers In/Out,To 501 ERP Debt Service,,-8980,FALSE,0
Public Transit Fund-Operating,Transit Operations,Interfund Transfers In/Out,To 501 Technology Cap Proj,,-1287,FALSE,0
Public Transit Fund-Operating,Transit Operations,Interfund Transfers In/Out,To 810 Grants/Grants Match,,-233819,FALSE,0
Public Transit Fund-Operating,Transit Operations,Miscellaneous,Contracted Transit Route Reimb,,-2506654,FALSE,0
Public Transit Fund-Operating,Transit Operations,Miscellaneous,Farebox Reimbursement,,-3612600,FALSE,0
Public Transit Fund-Operating,Transit Operations,Miscellaneous,Licenses/Dues & Publications,,-9550,FALSE,0
Public Transit Fund-Operating,Transit Operations,Miscellaneous,Marketing,,-125000,FALSE,0
Public Transit Fund-Operating,Transit Operations,Miscellaneous,Records Storage Retention Svcs,,-3200,FALSE,0
Public Transit Fund-Operating,Transit Operations,Miscellaneous,Training & Travel & Reg,,-2500,FALSE,0
Public Transit Fund-Operating,Transit Operations,Miscellaneous,Transit Operating Subsidy,,-12328185,FALSE,0
Public Transit Fund-Operating,Transit Operations,Other Expense,To ISF-Prop/Liab Claims,,-10242,FALSE,0
Public Transit Fund-Operating,Transit Operations,Other Expense,To ISF-Prop/Liab Premium,,-9165,FALSE,0
Public Transit Fund-Operating,Transit Operations,Other Expense,To Isf-Sir Workers Comp,,-5796,FALSE,0
Public Transit Fund-Operating,Transit Operations,Other Expense,To ISF-WC Excess Premium,,-494,FALSE,0
Public Transit Fund-Operating,Transit Operations,Salaries and Wages,Expense Allowance,,-2701,FALSE,0
Public Transit Fund-Operating,Transit Operations,Salaries and Wages,Longevity,,-1907.1,FALSE,0
Public Transit Fund-Operating,Transit Operations,Salaries and Wages,Salaries-Ft,,-176147.65,FALSE,0
Public Transit Fund-Operating,Transit Operations -Trans Svcs,Direct Expenses,Cellular/Wireless Voice Lines,300,300,FALSE,0
Public Transit Fund-Operating,Transit Operations -Trans Svcs,Direct Expenses,Contractual Svcs-Other,1004322,1004322,FALSE,0
Public Transit Fund-Operating,Transit Operations -Trans Svcs,Direct Expenses,Copier Maintenance/Impressions,1850,1850,FALSE,0
Public Transit Fund-Operating,Transit Operations -Trans Svcs,Direct Expenses,Management Services,400470,400470,FALSE,0
Public Transit Fund-Operating,Transit Operations -Trans Svcs,Direct Expenses,Motor Fuels & Lubricants,537,537,FALSE,0
Public Transit Fund-Operating,Transit Operations -Trans Svcs,Direct Expenses,Motor Pool Vehicle Use Costs,1100,1100,FALSE,0
Public Transit Fund-Operating,Transit Operations -Trans Svcs,Direct Expenses,Office Supplies,2001,2001,FALSE,0
Public Transit Fund-Operating,Transit Operations -Trans Svcs,Direct Expenses,Photocopy Maint,1950,1950,FALSE,0
Public Transit Fund-Operating,Transit Operations -Trans Svcs,Direct Expenses,Print Copy-Rmb,1500,1500,FALSE,0
Public Transit Fund-Operating,Transit Operations -Trans Svcs,Direct Expenses,Professional Svcs-Other,2600,2600,FALSE,0
Public Transit Fund-Operating,Transit Operations -Trans Svcs,Direct Expenses,Telephone/Comm (Hard Lines),200,200,FALSE,0
Public Transit Fund-Operating,Transit Operations -Trans Svcs,Direct Expenses,Vehicle Maint & Operation,2000,2000,FALSE,0
Public Transit Fund-Operating,Transit Operations -Trans Svcs,Direct Expenses,Wan Data Line,8943,8943,FALSE,0
Public Transit Fund-Operating,Transit Operations -Trans Svcs,Direct Expenses,Wireless Data Comm,5004,5004,FALSE,0
Public Transit Fund-Operating,Transit Operations -Trans Svcs,Employee Benefits,Dental Insurance,1431.6,1431.6,FALSE,0
Public Transit Fund-Operating,Transit Operations -Trans Svcs,Employee Benefits,FICA Temp,167.48,167.48,FALSE,0
Public Transit Fund-Operating,Transit Operations -Trans Svcs,Employee Benefits,Group Life Ad & Di,171.32,171.32,FALSE,0
Public Transit Fund-Operating,Transit Operations -Trans Svcs,Employee Benefits,Health Insurance,16089.12,16089.12,FALSE,0
Public Transit Fund-Operating,Transit Operations -Trans Svcs,Employee Benefits,Health Insurance (Retiree),29000,29000,FALSE,0
Public Transit Fund-Operating,Transit Operations -Trans Svcs,Employee Benefits,Health Insurance Increment,1190.59,1190.59,FALSE,0
Public Transit Fund-Operating,Transit Operations -Trans Svcs,Employee Benefits,Medicare,2760.17,2760.17,FALSE,0
Public Transit Fund-Operating,Transit Operations -Trans Svcs,Employee Benefits,Medicare Supplement,2400,2400,FALSE,0
Public Transit Fund-Operating,Transit Operations -Trans Svcs,Employee Benefits,Medicare Temp,39.17,39.17,FALSE,0
Public Transit Fund-Operating,Transit Operations -Trans Svcs,Employee Benefits,Opeb- Post Employment Benefits,2606,2606,FALSE,0
Public Transit Fund-Operating,Transit Operations -Trans Svcs,Employee Benefits,Retirement,13800.86,13800.86,FALSE,0
Public Transit Fund-Operating,Transit Operations -Trans Svcs,Employee Benefits,Social Security,11802.12,11802.12,FALSE,0
Public Transit Fund-Operating,Transit Operations -Trans Svcs,Employee Benefits,Supplemental Retirement,3759.6,3759.6,FALSE,0
Public Transit Fund-Operating,Transit Operations -Trans Svcs,Interfund Transfers In/Out,To 100 Ind Cost,495247,495247,FALSE,0
Public Transit Fund-Operating,Transit Operations -Trans Svcs,Interfund Transfers In/Out,To 310 W/S Reimb,32563,32563,FALSE,0
Public Transit Fund-Operating,Transit Operations -Trans Svcs,Interfund Transfers In/Out,To 460 Reimb Engineering Stm W,73637,73637,FALSE,0
Public Transit Fund-Operating,Transit Operations -Trans Svcs,Interfund Transfers In/Out,To 501 ERP Debt Service,8829,8829,FALSE,0
Public Transit Fund-Operating,Transit Operations -Trans Svcs,Interfund Transfers In/Out,To 501 Technology Cap Proj,3938,3938,FALSE,0
Public Transit Fund-Operating,Transit Operations -Trans Svcs,Interfund Transfers In/Out,To 810 Grants/Grants Match,290838,290838,FALSE,0
Public Transit Fund-Operating,Transit Operations -Trans Svcs,Miscellaneous,Contracted Transit Route Reimb,2506654,2506654,FALSE,0
Public Transit Fund-Operating,Transit Operations -Trans Svcs,Miscellaneous,Farebox Reimbursement,3612600,3612600,FALSE,0
Public Transit Fund-Operating,Transit Operations -Trans Svcs,Miscellaneous,Licenses/Dues & Publications,9550,9550,FALSE,0
Public Transit Fund-Operating,Transit Operations -Trans Svcs,Miscellaneous,Marketing,125000,125000,FALSE,0
Public Transit Fund-Operating,Transit Operations -Trans Svcs,Miscellaneous,Postage - Dept Charges,900,900,FALSE,0
Public Transit Fund-Operating,Transit Operations -Trans Svcs,Miscellaneous,Records Storage Retention Svcs,4400,4400,FALSE,0
Public Transit Fund-Operating,Transit Operations -Trans Svcs,Miscellaneous,Training & Travel & Reg,2500,2500,FALSE,0
Public Transit Fund-Operating,Transit Operations -Trans Svcs,Miscellaneous,Transit Operating Subsidy,12634784,12634784,FALSE,0
Public Transit Fund-Operating,Transit Operations -Trans Svcs,Other Expense,To ISF-Prop/Liab Claims,9005,9005,FALSE,0
Public Transit Fund-Operating,Transit Operations -Trans Svcs,Other Expense,To ISF-Prop/Liab Premium,9891,9891,FALSE,0
Public Transit Fund-Operating,Transit Operations -Trans Svcs,Other Expense,To Isf-Sir Workers Comp,5893,5893,FALSE,0
Public Transit Fund-Operating,Transit Operations -Trans Svcs,Other Expense,To ISF-WC Excess Premium,516,516,FALSE,0
Public Transit Fund-Operating,Transit Operations -Trans Svcs,Salaries and Wages,Expense Allowance,2701.23,2701.23,FALSE,0
Public Transit Fund-Operating,Transit Operations -Trans Svcs,Salaries and Wages,Longevity,1961.22,1961.22,FALSE,0
Public Transit Fund-Operating,Transit Operations -Trans Svcs,Salaries and Wages,Salaries-Ft,188395.52,188395.52,FALSE,0
Public Utilities Fund,Neuse River Resc Recovery Fac,Capital Equipment,Capital Equipment-Other,227500,227500,FALSE,0
Public Utilities Fund,Neuse River Resc Recovery Fac,Capital Equipment,Computer Hardware/Software,15000,15000,FALSE,0
Public Utilities Fund,Neuse River Resc Recovery Fac,Capital Equipment,Farm Equip,5000,5000,FALSE,0
Public Utilities Fund,Neuse River Resc Recovery Fac,Capital Equipment,Office Furniture & Equip,5000,5000,FALSE,0
Public Utilities Fund,Neuse River Resc Recovery Fac,Capital Equipment,Shop Tools & Equip,2500,2500,FALSE,0
Public Utilities Fund,Neuse River Resc Recovery Fac,Direct Expenses,Annual Maint Agreements,28800,28800,FALSE,0
Public Utilities Fund,Neuse River Resc Recovery Fac,Direct Expenses,Chemicals,3367753,3367753,FALSE,0
Public Utilities Fund,Neuse River Resc Recovery Fac,Direct Expenses,Computer Lease,24771,24771,FALSE,0
Public Utilities Fund,Neuse River Resc Recovery Fac,Direct Expenses,Computer Operations & Access,10000,10000,FALSE,0
Public Utilities Fund,Neuse River Resc Recovery Fac,Direct Expenses,Contractual Svcs-Other,947563,947563,FALSE,0
Public Utilities Fund,Neuse River Resc Recovery Fac,Direct Expenses,Electric Service,4423000,4423000,FALSE,0
Public Utilities Fund,Neuse River Resc Recovery Fac,Direct Expenses,Equipment Usage Charge,758508,758508,FALSE,0
Public Utilities Fund,Neuse River Resc Recovery Fac,Direct Expenses,Lease-Equipment,24600,24600,FALSE,0
Public Utilities Fund,Neuse River Resc Recovery Fac,Direct Expenses,Motor Fuel/Lub for Equip Use,221470,221470,FALSE,0
Public Utilities Fund,Neuse River Resc Recovery Fac,Direct Expenses,Motor Fuels & Lubricants,303569,303569,FALSE,0
Public Utilities Fund,Neuse River Resc Recovery Fac,Direct Expenses,Office Supplies,18000,18000,FALSE,0
Public Utilities Fund,Neuse River Resc Recovery Fac,Direct Expenses,Operational & Maint Supplies,757703,757703,FALSE,0
Public Utilities Fund,Neuse River Resc Recovery Fac,Direct Expenses,Pest Control Service,4820,4820,FALSE,0
Public Utilities Fund,Neuse River Resc Recovery Fac,Direct Expenses,Print Copy-Rmb,12400,12400,FALSE,0
Public Utilities Fund,Neuse River Resc Recovery Fac,Direct Expenses,Rental-Equipment,62500,62500,FALSE,0
Public Utilities Fund,Neuse River Resc Recovery Fac,Direct Expenses,Repairs-Bldg/Structure,144000,144000,FALSE,0
Public Utilities Fund,Neuse River Resc Recovery Fac,Direct Expenses,Repairs-Office Equip,200,200,FALSE,0
Public Utilities Fund,Neuse River Resc Recovery Fac,Direct Expenses,Repairs-Other Equip,677500,677500,FALSE,0
Public Utilities Fund,Neuse River Resc Recovery Fac,Direct Expenses,Rsv-Wide Area Network,1084,1084,FALSE,0
Public Utilities Fund,Neuse River Resc Recovery Fac,Direct Expenses,Service Contracts-Other,2032040,2032040,FALSE,0
Public Utilities Fund,Neuse River Resc Recovery Fac,Direct Expenses,Small Equipment,124000,124000,FALSE,0
Public Utilities Fund,Neuse River Resc Recovery Fac,Direct Expenses,Uniforms,31775,31775,FALSE,0
Public Utilities Fund,Neuse River Resc Recovery Fac,Direct Expenses,Vehicle Maint & Operation,375200,375200,FALSE,0
Public Utilities Fund,Neuse River Resc Recovery Fac,Direct Expenses,Vehicle Repair Supplies,4000,4000,FALSE,0
Public Utilities Fund,Neuse River Resc Recovery Fac,Direct Expenses,Wan Data Line,20681,20681,FALSE,0
Public Utilities Fund,Neuse River Resc Recovery Fac,Direct Expenses,Water/Sewer Service,1500,1500,FALSE,0
Public Utilities Fund,Neuse River Resc Recovery Fac,Employee Benefits,Dental Insurance,63182.4,63182.4,FALSE,0
Public Utilities Fund,Neuse River Resc Recovery Fac,Employee Benefits,FICA Temp,26744.82,26744.82,FALSE,0
Public Utilities Fund,Neuse River Resc Recovery Fac,Employee Benefits,Group Life Ad & Di,5116.51,5116.51,FALSE,0
Public Utilities Fund,Neuse River Resc Recovery Fac,Employee Benefits,Health Insurance,732189.6,732189.6,FALSE,0
Public Utilities Fund,Neuse River Resc Recovery Fac,Employee Benefits,Health Insurance Increment,52583.63,52583.63,FALSE,0
Public Utilities Fund,Neuse River Resc Recovery Fac,Employee Benefits,Medicare,82434,82434,FALSE,0
Public Utilities Fund,Neuse River Resc Recovery Fac,Employee Benefits,Medicare Temp,6254.84,6254.84,FALSE,0
Public Utilities Fund,Neuse River Resc Recovery Fac,Employee Benefits,Retirement,412019.39,412019.39,FALSE,0
Public Utilities Fund,Neuse River Resc Recovery Fac,Employee Benefits,Retirement Temp,27999.23,27999.23,FALSE,0
Public Utilities Fund,Neuse River Resc Recovery Fac,Employee Benefits,Social Security,352476.18,352476.18,FALSE,0
Public Utilities Fund,Neuse River Resc Recovery Fac,Employee Benefits,Supplemental Retirement,136803.92,136803.92,FALSE,0
Public Utilities Fund,Neuse River Resc Recovery Fac,Miscellaneous,Advertising,19000,19000,FALSE,0
Public Utilities Fund,Neuse River Resc Recovery Fac,Miscellaneous,Landfill Charges,194306,194306,FALSE,0
Public Utilities Fund,Neuse River Resc Recovery Fac,Miscellaneous,Licenses/Dues & Publications,38000,38000,FALSE,0
Public Utilities Fund,Neuse River Resc Recovery Fac,Miscellaneous,Professional Certification,22350,22350,FALSE,0
Public Utilities Fund,Neuse River Resc Recovery Fac,Miscellaneous,Training & Travel & Reg,49150,49150,FALSE,0
Public Utilities Fund,Neuse River Resc Recovery Fac,Salaries and Wages,Expense Allowance,1200,1200,FALSE,0
Public Utilities Fund,Neuse River Resc Recovery Fac,Salaries and Wages,Holiday Pay,55808,55808,FALSE,0
Public Utilities Fund,Neuse River Resc Recovery Fac,Salaries and Wages,Longevity,103722.83,103722.83,FALSE,0
Public Utilities Fund,Neuse River Resc Recovery Fac,Salaries and Wages,Salaries-Ft,5581376.69,5581376.69,FALSE,0
Public Utilities Fund,Neuse River Resc Recovery Fac,Salaries and Wages,Salaries-Ot For Ft Staff,322560,322560,FALSE,0
Public Utilities Fund,Neuse River Resc Recovery Fac,Salaries and Wages,Salaries-Pt Temp/Seasonal,51800,51800,FALSE,0
Public Utilities Fund,Neuse River Resc Recovery Fac,Salaries and Wages,Salary Reserve,8225,8225,FALSE,0
Public Utilities Fund,Public Utilities Capital Improvement Mgmt,Capital Equipment,Office Furniture & Equip,10000,0,FALSE,0
Public Utilities Fund,Public Utilities Capital Improvement Mgmt,Direct Expenses,Computer Lease,25242,1070,FALSE,0
Public Utilities Fund,Public Utilities Capital Improvement Mgmt,Direct Expenses,Computer Operations & Access,38200,34500,FALSE,0
Public Utilities Fund,Public Utilities Capital Improvement Mgmt,Direct Expenses,Equipment Usage Charge,62638,5190,FALSE,0
Public Utilities Fund,Public Utilities Capital Improvement Mgmt,Direct Expenses,Motor Fuels & Lubricants,34636,0,FALSE,0
Public Utilities Fund,Public Utilities Capital Improvement Mgmt,Direct Expenses,Motor Pool Vehicle Use Costs,6000,5000,FALSE,0
Public Utilities Fund,Public Utilities Capital Improvement Mgmt,Direct Expenses,Office Supplies,5250,3500,FALSE,0
Public Utilities Fund,Public Utilities Capital Improvement Mgmt,Direct Expenses,Operational & Maint Supplies,31650,-13850,FALSE,0
Public Utilities Fund,Public Utilities Capital Improvement Mgmt,Direct Expenses,Repairs-Other Equip,1000,-2375,FALSE,0
Public Utilities Fund,Public Utilities Capital Improvement Mgmt,Direct Expenses,Small Equipment,6000,4000,FALSE,0
Public Utilities Fund,Public Utilities Capital Improvement Mgmt,Direct Expenses,Uniforms,8875,4100,FALSE,0
Public Utilities Fund,Public Utilities Capital Improvement Mgmt,Direct Expenses,Vehicle Maint & Operation,20600,0,FALSE,0
Public Utilities Fund,Public Utilities Capital Improvement Mgmt,Employee Benefits,Dental Insurance,25356.48,555.56,FALSE,0
Public Utilities Fund,Public Utilities Capital Improvement Mgmt,Employee Benefits,Dental Insurance Increment,,1546.73,FALSE,0
Public Utilities Fund,Public Utilities Capital Improvement Mgmt,Employee Benefits,FICA Temp,11385.37,6014,FALSE,0
Public Utilities Fund,Public Utilities Capital Improvement Mgmt,Employee Benefits,Group Life Ad & Di,2282.61,30.93,FALSE,0
Public Utilities Fund,Public Utilities Capital Improvement Mgmt,Employee Benefits,Health Insurance,288471.84,2226.24,FALSE,0
Public Utilities Fund,Public Utilities Capital Improvement Mgmt,Employee Benefits,Health Insurance Increment,21346.92,36983.74,FALSE,0
Public Utilities Fund,Public Utilities Capital Improvement Mgmt,Employee Benefits,Medicare,36775.55,498.43,FALSE,0
Public Utilities Fund,Public Utilities Capital Improvement Mgmt,Employee Benefits,Medicare Temp,2662.71,1406.5,FALSE,0
Public Utilities Fund,Public Utilities Capital Improvement Mgmt,Employee Benefits,Retirement,179241.19,8333.55,FALSE,0
Public Utilities Fund,Public Utilities Capital Improvement Mgmt,Employee Benefits,Retirement Temp,4810,4810,FALSE,0
Public Utilities Fund,Public Utilities Capital Improvement Mgmt,Employee Benefits,Social Security,157247.25,2131.14,FALSE,0
Public Utilities Fund,Public Utilities Capital Improvement Mgmt,Employee Benefits,Supplemental Retirement,64164.68,1090.7,FALSE,0
Public Utilities Fund,Public Utilities Capital Improvement Mgmt,Miscellaneous,Licenses/Dues & Publications,5500,500,FALSE,0
Public Utilities Fund,Public Utilities Capital Improvement Mgmt,Miscellaneous,Mileage Reimb,16500,0,FALSE,0
Public Utilities Fund,Public Utilities Capital Improvement Mgmt,Miscellaneous,Postage,1000,0,FALSE,0
Public Utilities Fund,Public Utilities Capital Improvement Mgmt,Miscellaneous,Professional Certification,2000,0,FALSE,0
Public Utilities Fund,Public Utilities Capital Improvement Mgmt,Miscellaneous,Training & Travel & Reg,47000,10000,FALSE,0
Public Utilities Fund,Public Utilities Capital Improvement Mgmt,Salaries and Wages,Expense Allowance,20000,0,FALSE,0
Public Utilities Fund,Public Utilities Capital Improvement Mgmt,Salaries and Wages,Longevity,32210.53,-1187.08,FALSE,0
Public Utilities Fund,Public Utilities Capital Improvement Mgmt,Salaries and Wages,Salaries-Ft,2504035.57,35560.48,FALSE,0
Public Utilities Fund,Public Utilities Capital Improvement Mgmt,Salaries and Wages,Salaries-Ot For Ft Staff,65000,65000,FALSE,0
Public Utilities Fund,Public Utilities Capital Improvement Mgmt,Salaries and Wages,Salaries-Pt Temp/Seasonal,98635,32000,FALSE,0
Public Utilities Fund,Public Utilities Customer Care and Billing,Direct Expenses,Computer Lease,35272,35272,FALSE,0
Public Utilities Fund,Public Utilities Customer Care and Billing,Direct Expenses,Computer Operations & Access,176577,176577,FALSE,0
Public Utilities Fund,Public Utilities Customer Care and Billing,Direct Expenses,Contractual Svcs-Other,590400,590400,FALSE,0
Public Utilities Fund,Public Utilities Customer Care and Billing,Direct Expenses,Credit Card Fees,1005000,1005000,FALSE,0
Public Utilities Fund,Public Utilities Customer Care and Billing,Direct Expenses,Motor Pool Vehicle Use Costs,2500,2500,FALSE,0
Public Utilities Fund,Public Utilities Customer Care and Billing,Direct Expenses,Office Supplies,7750,7750,FALSE,0
Public Utilities Fund,Public Utilities Customer Care and Billing,Direct Expenses,Operational & Maint Supplies,9616,9616,FALSE,0
Public Utilities Fund,Public Utilities Customer Care and Billing,Direct Expenses,Rsv-Wide Area Network,7052,7052,FALSE,0
Public Utilities Fund,Public Utilities Customer Care and Billing,Direct Expenses,Telephone/Comm (Hard Lines),13055,13055,FALSE,0
Public Utilities Fund,Public Utilities Customer Care and Billing,Direct Expenses,Uniforms,7750,7750,FALSE,0
Public Utilities Fund,Public Utilities Customer Care and Billing,Direct Expenses,Wan Data Line,18876,18876,FALSE,0
Public Utilities Fund,Public Utilities Customer Care and Billing,Employee Benefits,Dental Insurance,35699.92,35699.92,FALSE,0
Public Utilities Fund,Public Utilities Customer Care and Billing,Employee Benefits,FICA Temp,930,930,FALSE,0
Public Utilities Fund,Public Utilities Customer Care and Billing,Employee Benefits,Group Life Ad & Di,2609.75,2609.75,FALSE,0
Public Utilities Fund,Public Utilities Customer Care and Billing,Employee Benefits,Health Insurance,458763.36,458763.36,FALSE,0
Public Utilities Fund,Public Utilities Customer Care and Billing,Employee Benefits,Health Insurance Increment,31478.07,31478.07,FALSE,0
Public Utilities Fund,Public Utilities Customer Care and Billing,Employee Benefits,Medicare,42046,42046,FALSE,0
Public Utilities Fund,Public Utilities Customer Care and Billing,Employee Benefits,Medicare Temp,217.5,217.5,FALSE,0
Public Utilities Fund,Public Utilities Customer Care and Billing,Employee Benefits,Retirement,210011.41,210011.41,FALSE,0
Public Utilities Fund,Public Utilities Customer Care and Billing,Employee Benefits,Retirement Temp,1110,1110,FALSE,0
Public Utilities Fund,Public Utilities Customer Care and Billing,Employee Benefits,Social Security,179782.95,179782.95,FALSE,0
Public Utilities Fund,Public Utilities Customer Care and Billing,Employee Benefits,Supplemental Retirement,57360.93,57360.93,FALSE,0
Public Utilities Fund,Public Utilities Customer Care and Billing,Miscellaneous,Licenses/Dues & Publications,175,175,FALSE,0
Public Utilities Fund,Public Utilities Customer Care and Billing,Miscellaneous,Mileage Reimb,500,500,FALSE,0
Public Utilities Fund,Public Utilities Customer Care and Billing,Miscellaneous,Postage,842800,842800,FALSE,0
Public Utilities Fund,Public Utilities Customer Care and Billing,Miscellaneous,Training & Travel & Reg,63087,63087,FALSE,0
Public Utilities Fund,Public Utilities Customer Care and Billing,Salaries and Wages,Agency Personnel-Temp,20000,20000,FALSE,0
Public Utilities Fund,Public Utilities Customer Care and Billing,Salaries and Wages,Longevity,26553.44,26553.44,FALSE,0
Public Utilities Fund,Public Utilities Customer Care and Billing,Salaries and Wages,Salaries-Ft,2873172.61,2873172.61,FALSE,0
Public Utilities Fund,Public Utilities Customer Care and Billing,Salaries and Wages,Salaries-Ot For Ft Staff,30000,30000,FALSE,0
Public Utilities Fund,Public Utilities Facilities Support,Capital Equipment,Capital Equipment-Other,8000,0,FALSE,0
Public Utilities Fund,Public Utilities Facilities Support,Direct Expenses,Chemicals,14175,0,FALSE,0
Public Utilities Fund,Public Utilities Facilities Support,Direct Expenses,Computer Lease,5182,-133,FALSE,0
Public Utilities Fund,Public Utilities Facilities Support,Direct Expenses,Computer Operations & Access,4000,0,FALSE,0
Public Utilities Fund,Public Utilities Facilities Support,Direct Expenses,Contractual Svcs-Other,109414,0,FALSE,0
Public Utilities Fund,Public Utilities Facilities Support,Direct Expenses,Credit Card Fees,2200,0,FALSE,0
Public Utilities Fund,Public Utilities Facilities Support,Direct Expenses,Electric Service,168389,-50000,FALSE,0
Public Utilities Fund,Public Utilities Facilities Support,Direct Expenses,Equipment Usage Charge,53810,0,FALSE,0
Public Utilities Fund,Public Utilities Facilities Support,Direct Expenses,Motor Fuels & Lubricants,4755,-4167,FALSE,0
Public Utilities Fund,Public Utilities Facilities Support,Direct Expenses,Natural Gas Svc,53800,-25000,FALSE,0
Public Utilities Fund,Public Utilities Facilities Support,Direct Expenses,Office Supplies,5000,0,FALSE,0
Public Utilities Fund,Public Utilities Facilities Support,Direct Expenses,Operational & Maint Supplies,626850,0,FALSE,0
Public Utilities Fund,Public Utilities Facilities Support,Direct Expenses,Print Copy-Rmb,2000,0,FALSE,0
Public Utilities Fund,Public Utilities Facilities Support,Direct Expenses,Rental-Equipment,3208,0,FALSE,0
Public Utilities Fund,Public Utilities Facilities Support,Direct Expenses,Rental-Real Property,34000,0,FALSE,0
Public Utilities Fund,Public Utilities Facilities Support,Direct Expenses,Repairs-Bldg/Structure,181000,0,FALSE,0
Public Utilities Fund,Public Utilities Facilities Support,Direct Expenses,Repairs-Office Equip,600,0,FALSE,0
