Fund,Department,Type,Account,Current,Amount,Revenue,Annotation
Public Utilities Fund,Public Utilities Water Plant,Direct Expenses,Service Contracts-Other,915900,0,FALSE,0
Public Utilities Fund,Public Utilities Water Plant,Direct Expenses,Small Equipment,103725,0,FALSE,0
Public Utilities Fund,Public Utilities Water Plant,Direct Expenses,Uniforms,23525,0,FALSE,0
Public Utilities Fund,Public Utilities Water Plant,Direct Expenses,Vehicle Maint & Operatingion,152100,0,FALSE,0
Public Utilities Fund,Public Utilities Water Plant,Direct Expenses,Wan Data Line,20700,0,FALSE,0
Public Utilities Fund,Public Utilities Water Plant,Direct Expenses,Waste Removal Service,350000,0,FALSE,0
Public Utilities Fund,Public Utilities Water Plant,Miscellaneous,Landfill Charges,13500,0,FALSE,0
Public Utilities Fund,Public Utilities Water Plant,Miscellaneous,Licenses/Dues & Publications,23000,0,FALSE,0
Public Utilities Fund,Public Utilities Water Plant,Miscellaneous,Postage,21000,0,FALSE,0
Public Utilities Fund,Public Utilities Water Plant,Miscellaneous,Professional Certification,19100,0,FALSE,0
Public Utilities Fund,Public Utilities Water Plant,Miscellaneous,Training & Travel & Reg,33400,0,FALSE,0
Public Utilities Fund,Public Utilities Water Plant,Salaries and Wages,Holiday Pay,35840,0,FALSE,0
Public Utilities Fund,Public Utilities Water Plant,Salaries and Wages,Salaries-Ot For Ft Staff,317583,0,FALSE,0
Public Utilities Fund,Public Utilities Water Plant,Salaries and Wages,Salaries-Pt Temp/Seasonal,58536,0,FALSE,0
Public Utilities Fund,Public Utilities Water Plant,Salaries and Wages,Salary Reserve,6983,0,FALSE,0
Public Utilities Fund,Public Utilities Admin,Capital Equipment,Capital Equipment-Other,2500,0,FALSE,0
Public Utilities Fund,Public Utilities Admin,Capital Equipment,Office Furniture & Equip,15000,0,FALSE,0
Public Utilities Fund,Public Utilities Admin,Direct Expenses,Annual Maint Agreements,25000,0,FALSE,0
Public Utilities Fund,Public Utilities Admin,Direct Expenses,Cellular/Wireless Voice Lines,251854,0,FALSE,0
Public Utilities Fund,Public Utilities Admin,Direct Expenses,Contractual Svcs-Other,80000,0,FALSE,0
Public Utilities Fund,Public Utilities Admin,Direct Expenses,Medical Services,1500,0,FALSE,0
Public Utilities Fund,Public Utilities Admin,Direct Expenses,Office Supplies,17250,0,FALSE,0
Public Utilities Fund,Public Utilities Admin,Direct Expenses,Print Copy-Rmb,54000,0,FALSE,0
Public Utilities Fund,Public Utilities Admin,Direct Expenses,Professional Svcs-Other,1605000,0,FALSE,0
Public Utilities Fund,Public Utilities Admin,Direct Expenses,Pud-Sso Reward Program,1000,0,FALSE,0
Public Utilities Fund,Public Utilities Admin,Direct Expenses,Rental-Real Property,68400,0,FALSE,0
Public Utilities Fund,Public Utilities Admin,Direct Expenses,Repairs-Office Equip,700,0,FALSE,0
Public Utilities Fund,Public Utilities Admin,Direct Expenses,Service Contracts-Other,15410,0,FALSE,0
Public Utilities Fund,Public Utilities Admin,Direct Expenses,Small Equipment,8000,0,FALSE,0
Public Utilities Fund,Public Utilities Admin,Direct Expenses,Special Projects & Programs,15000,0,FALSE,0
Public Utilities Fund,Public Utilities Admin,Direct Expenses,Vehicle Maint & Operatingion,29650,0,FALSE,0
Public Utilities Fund,Public Utilities Admin,Direct Expenses,Wireless Data Comm,114000,0,FALSE,0
Public Utilities Fund,Public Utilities Admin,Interfund Transfers In/Out,To 310 W/S Reimb,5000,0,FALSE,0
Public Utilities Fund,Public Utilities Admin,Interfund Transfers In/Out,To 460 Reimb Engineering Stm W,15230,0,FALSE,0
Public Utilities Fund,Public Utilities Admin,Miscellaneous,Mileage Reimb,2000,0,FALSE,0
Public Utilities Fund,Public Utilities Admin,Miscellaneous,Postage,25000,0,FALSE,0
Public Utilities Fund,Public Utilities Admin,Miscellaneous,Records Storage Retention Svcs,7500,0,FALSE,0
Public Utilities Fund,Public Utilities Admin,Miscellaneous,Safety Shoes,150000,0,FALSE,0
Public Utilities Fund,Public Utilities Admin,Other Expense,Utility Write Down Expense,5000,0,FALSE,0
Public Utilities Fund,Public Utilities Admin,Salaries and Wages,Expense Allowance,30080,0,FALSE,0
Public Utilities Fund,Public Utilities Admin,Salaries and Wages,Holiday Pay,1024,0,FALSE,0
Public Utilities Fund,Public Utilities Admin,Salaries and Wages,Salaries-Ot For Ft Staff,15360,0,FALSE,0
Public Utilities Fund,Public Utilities Admin,Salaries and Wages,Salaries-Pt Temp/Seasonal,69392,0,FALSE,0
Public Utilities Fund,Public Utilities-Spec Appropri,Capital Project Expense,Bond Interest,10000,0,FALSE,0
Public Utilities Fund,Public Utilities-Spec Appropri,Direct Expenses,Special Projects & Programs,6000,0,FALSE,0
Public Utilities Fund,Public Utilities-Spec Appropri,Employee Benefits,Unemployment,35000,0,FALSE,0
Public Utilities Fund,Public Utilities-Spec Appropri,Other Expense,Other External Agencies,255000,0,FALSE,0
Public Utilities Fund,Public Utilities-Spec Appropri,Other Expense,Penalty Pmts Due Wcpss (90% Of,32000,0,FALSE,0
Public Utilities Fund,Public Utilities-Spec Appropri,Other Expense,Stream Water Quality,120000,0,FALSE,0
Public Utilities Fund,Public Utilities-Spec Appropri,Salaries and Wages,Salary Reserve,900000,0,FALSE,0
RCC/PAC Debt Svc Fund,Treasury Office,Direct Expenses,Bond Re-Marketing Fees,200000,0,FALSE,0
RCC/PAC Debt Svc Fund,Treasury Office,Direct Expenses,Bond Sale Services,25000,0,FALSE,0
RCC/PAC Debt Svc Fund,Treasury Office,Direct Expenses,Financial Advisor,25000,0,FALSE,0
RCC/PAC Debt Svc Fund,Treasury Office,Direct Expenses,Trustee Escrow Agent Expense,36000,0,FALSE,0
RCC/PAC Operatingions Fund,Performing Arts Center,Capital Equipment,Event Equip,10000,0,FALSE,0
RCC/PAC Operatingions Fund,Performing Arts Center,Direct Expenses,Backstage Oper & Maint Supply,30000,0,FALSE,0
RCC/PAC Operatingions Fund,Performing Arts Center,Direct Expenses,Cleaning Supplies,45000,0,FALSE,0
RCC/PAC Operatingions Fund,Performing Arts Center,Direct Expenses,Computer Operatingions & Access,23400,0,FALSE,0
RCC/PAC Operatingions Fund,Performing Arts Center,Direct Expenses,Contractual Svcs-Other,10000,0,FALSE,0
RCC/PAC Operatingions Fund,Performing Arts Center,Direct Expenses,Copier Maintenance/Impressions,8000,0,FALSE,0
RCC/PAC Operatingions Fund,Performing Arts Center,Direct Expenses,Electric Service,350000,0,FALSE,0
RCC/PAC Operatingions Fund,Performing Arts Center,Direct Expenses,Equipment Usage Charge,3786,0,FALSE,0
RCC/PAC Operatingions Fund,Performing Arts Center,Direct Expenses,Motor Fuels & Lubricants,2288,0,FALSE,0
RCC/PAC Operatingions Fund,Performing Arts Center,Direct Expenses,Natural Gas Svc,100000,0,FALSE,0
RCC/PAC Operatingions Fund,Performing Arts Center,Direct Expenses,Office Supplies,5500,0,FALSE,0
RCC/PAC Operatingions Fund,Performing Arts Center,Direct Expenses,Operatingional & Maint Supplies,67000,0,FALSE,0
RCC/PAC Operatingions Fund,Performing Arts Center,Direct Expenses,Phone Lines,21000,0,FALSE,0
RCC/PAC Operatingions Fund,Performing Arts Center,Direct Expenses,Photocopy Maint,9594,0,FALSE,0
RCC/PAC Operatingions Fund,Performing Arts Center,Direct Expenses,Print Copy-Rmb,1000,0,FALSE,0
RCC/PAC Operatingions Fund,Performing Arts Center,Direct Expenses,Rental-Equipment,1000,0,FALSE,0
RCC/PAC Operatingions Fund,Performing Arts Center,Direct Expenses,Repairs-Other Equip,8000,0,FALSE,0
RCC/PAC Operatingions Fund,Performing Arts Center,Direct Expenses,Rsv-Wide Area Network,1652,0,FALSE,0
RCC/PAC Operatingions Fund,Performing Arts Center,Direct Expenses,Service Contracts-Other,69330,0,FALSE,0
RCC/PAC Operatingions Fund,Performing Arts Center,Direct Expenses,Small Equipment,12000,0,FALSE,0
RCC/PAC Operatingions Fund,Performing Arts Center,Direct Expenses,Uniforms,5000,0,FALSE,0
RCC/PAC Operatingions Fund,Performing Arts Center,Direct Expenses,Vehicle Maint & Operatingion,6000,0,FALSE,0
RCC/PAC Operatingions Fund,Performing Arts Center,Employee Benefits,Employee Benefits,30000,0,FALSE,0
RCC/PAC Operatingions Fund,Performing Arts Center,Employee Benefits,Retirement Temp,16983,0,FALSE,0
RCC/PAC Operatingions Fund,Performing Arts Center,Employee Benefits,Supplemental Retire-Police,3500,0,FALSE,0
RCC/PAC Operatingions Fund,Performing Arts Center,Employee Benefits,Unemployment,7080,0,FALSE,0
RCC/PAC Operatingions Fund,Performing Arts Center,Interfund Transfers In/Out,To 310 W/S Reimb,50000,0,FALSE,0
RCC/PAC Operatingions Fund,Performing Arts Center,Interfund Transfers In/Out,To 460 Reimb Engineering Stm W,5000,0,FALSE,0
RCC/PAC Operatingions Fund,Performing Arts Center,Miscellaneous,Licenses/Dues & Publications,7640,0,FALSE,0
RCC/PAC Operatingions Fund,Performing Arts Center,Miscellaneous,Mileage Reimb,1500,0,FALSE,0
RCC/PAC Operatingions Fund,Performing Arts Center,Miscellaneous,Postage,1500,0,FALSE,0
RCC/PAC Operatingions Fund,Performing Arts Center,Miscellaneous,Records Storage Retention Svcs,250,0,FALSE,0
RCC/PAC Operatingions Fund,Performing Arts Center,Other Expense,RCC/ PAC Catering/Entertain Ex,20000,0,FALSE,0
RCC/PAC Operatingions Fund,Performing Arts Center,Other Expense,RCC/ PAC Decorating Exp,2000,0,FALSE,0
RCC/PAC Operatingions Fund,Performing Arts Center,Other Expense,RCC/ PAC Miscellaneous Exp,15000,0,FALSE,0
RCC/PAC Operatingions Fund,Performing Arts Center,Other Expense,RCC/ PAC Orchestra Exp,10000,0,FALSE,0
RCC/PAC Operatingions Fund,Performing Arts Center,Other Expense,RCC/PAC Group Sales Comm,25000,0,FALSE,0
RCC/PAC Operatingions Fund,Performing Arts Center,Other Expense,RCC/PAC Group Sales Exp,15000,0,FALSE,0
RCC/PAC Operatingions Fund,Performing Arts Center,Other Expense,RCC/PAC Group Ticketmaster Fee,25700,0,FALSE,0
RCC/PAC Operatingions Fund,Performing Arts Center,Other Expense,RCC/PAC Subscript Mkting Exp,150050,0,FALSE,0
RCC/PAC Operatingions Fund,Performing Arts Center,Salaries and Wages,Event Personnel-Perm,70000,0,FALSE,0
RCC/PAC Operatingions Fund,Performing Arts Center,Salaries and Wages,Event Personnel-Temp,190000,0,FALSE,0
RCC/PAC Operatingions Fund,Performing Arts Center,Salaries and Wages,Event Production Personnel-Per,5000,0,FALSE,0
RCC/PAC Operatingions Fund,Performing Arts Center,Salaries and Wages,Event Production Personnel-Tem,570000,0,FALSE,0
RCC/PAC Operatingions Fund,Performing Arts Center,Salaries and Wages,Holiday Pay,11340,0,FALSE,0
RCC/PAC Operatingions Fund,Performing Arts Center,Salaries and Wages,Salaries-Ot For Ft Staff,148160,0,FALSE,0
RCC/PAC Operatingions Fund,RCC Downtown Amphitheatre,Direct Expenses,Computer Operatingions & Access,3500,0,FALSE,0
RCC/PAC Operatingions Fund,RCC Downtown Amphitheatre,Direct Expenses,Contractual Svcs-Other,52500,0,FALSE,0
RCC/PAC Operatingions Fund,RCC Downtown Amphitheatre,Direct Expenses,Electric Service,20000,0,FALSE,0
RCC/PAC Operatingions Fund,RCC Downtown Amphitheatre,Direct Expenses,Office Supplies,1450,0,FALSE,0
RCC/PAC Operatingions Fund,RCC Downtown Amphitheatre,Direct Expenses,Professional Svcs-Other,21000,0,FALSE,0
RCC/PAC Operatingions Fund,RCC Downtown Amphitheatre,Direct Expenses,Repairs-Bldg/Structure,10000,0,FALSE,0
RCC/PAC Operatingions Fund,RCC Downtown Amphitheatre,Direct Expenses,Rsv-Wide Area Network,320,0,FALSE,0
RCC/PAC Operatingions Fund,RCC Downtown Amphitheatre,Direct Expenses,Service Contracts-Other,2470,0,FALSE,0
RCC/PAC Operatingions Fund,RCC Downtown Amphitheatre,Interfund Transfers In/Out,To 190 Debt Svc,164946,0,FALSE,0
RCC/PAC Operatingions Fund,RCC Downtown Amphitheatre,Interfund Transfers In/Out,To 310 W/S Reimb,6000,0,FALSE,0
RCC/PAC Operatingions Fund,RCC Downtown Amphitheatre,Interfund Transfers In/Out,To 460 Reimb Engineering Stm W,5000,0,FALSE,0
RCC/PAC Operatingions Fund,RCC Downtown Amphitheatre,Miscellaneous,Advertising,5000,0,FALSE,0
RCC/PAC Operatingions Fund,RCC Downtown Amphitheatre,Miscellaneous,Mileage Reimb,200,0,FALSE,0
RCC/PAC Operatingions Fund,RCC Downtown Amphitheatre,Miscellaneous,Postage,500,0,FALSE,0
RCC/PAC Operatingions Fund,RCC Downtown Amphitheatre,Other Expense,RCC/PAC Event Labor,30000,0,FALSE,0
RCC/PAC Operatingions Fund,RCC Downtown Amphitheatre,Other Expense,RCC/PAC Labor Expense,60000,0,FALSE,0
RCC/PAC Operatingions Fund,RCC Downtown Amphitheatre,Other Expense,RCC/PAC Promoter % Concessions,290000,0,FALSE,0
RCC/PAC Operatingions Fund,RCC Downtown Amphitheatre,Salaries and Wages,Event Personnel-Perm,9000,0,FALSE,0
RCC/PAC Operatingions Fund,RCC Downtown Amphitheatre,Salaries and Wages,Expense Allowance,550,0,FALSE,0
RCC/PAC Operatingions Fund,RCC Downtown Amphitheatre,Salaries and Wages,Holiday Pay,1090,0,FALSE,0
RCC/PAC Operatingions Fund,RCC Downtown Amphitheatre,Salaries and Wages,Salaries-Pt Temp/Seasonal,60600,0,FALSE,0
RCC/PAC Operatingions Fund,RCC Facility,Capital Equipment,Event Equip,10000,0,FALSE,0
RCC/PAC Operatingions Fund,RCC Facility,Direct Expenses,Broadband/Internet Fees,80000,0,FALSE,0
RCC/PAC Operatingions Fund,RCC Facility,Direct Expenses,Cleaning Supplies,40000,0,FALSE,0
RCC/PAC Operatingions Fund,RCC Facility,Direct Expenses,Computer Operatingions & Access,53800,0,FALSE,0
RCC/PAC Operatingions Fund,RCC Facility,Direct Expenses,Copier Maintenance/Impressions,6000,0,FALSE,0
RCC/PAC Operatingions Fund,RCC Facility,Direct Expenses,Credit Card Fees,21500,0,FALSE,0
RCC/PAC Operatingions Fund,RCC Facility,Direct Expenses,Electric Service,750000,0,FALSE,0
RCC/PAC Operatingions Fund,RCC Facility,Direct Expenses,Equipment Usage Charge,17160,0,FALSE,0
RCC/PAC Operatingions Fund,RCC Facility,Direct Expenses,Motor Fuels & Lubricants,5724,0,FALSE,0
RCC/PAC Operatingions Fund,RCC Facility,Direct Expenses,Natural Gas Svc,200000,0,FALSE,0
RCC/PAC Operatingions Fund,RCC Facility,Direct Expenses,Office Supplies,8850,0,FALSE,0
RCC/PAC Operatingions Fund,RCC Facility,Direct Expenses,Operatingional & Maint Supplies,180000,0,FALSE,0
RCC/PAC Operatingions Fund,RCC Facility,Direct Expenses,Phone Lines,23000,0,FALSE,0
RCC/PAC Operatingions Fund,RCC Facility,Direct Expenses,Photocopy Maint,9324,0,FALSE,0
RCC/PAC Operatingions Fund,RCC Facility,Direct Expenses,Rental-Equipment,10000,0,FALSE,0
RCC/PAC Operatingions Fund,RCC Facility,Direct Expenses,Repairs-Bldg/Structure,40000,0,FALSE,0
RCC/PAC Operatingions Fund,RCC Facility,Direct Expenses,Repairs-Other Equip,8000,0,FALSE,0
RCC/PAC Operatingions Fund,RCC Facility,Direct Expenses,Rsv-Wide Area Network,136000,0,FALSE,0
RCC/PAC Operatingions Fund,RCC Facility,Direct Expenses,Service Contracts-Other,215640,0,FALSE,0
RCC/PAC Operatingions Fund,RCC Facility,Direct Expenses,Small Equipment,10000,0,FALSE,0
RCC/PAC Operatingions Fund,RCC Facility,Direct Expenses,Uniforms,10000,0,FALSE,0
RCC/PAC Operatingions Fund,RCC Facility,Direct Expenses,Vehicle Maint & Operatingion,20000,0,FALSE,0
RCC/PAC Operatingions Fund,RCC Facility,Employee Benefits,Unemployment,25566,0,FALSE,0
RCC/PAC Operatingions Fund,RCC Facility,Interfund Transfers In/Out,To 460 Reimb Engineering Stm W,5000,0,FALSE,0
RCC/PAC Operatingions Fund,RCC Facility,Miscellaneous,Advertising,30000,0,FALSE,0
RCC/PAC Operatingions Fund,RCC Facility,Other Expense,RCC/ PAC Advertise/Mkting Exp,80000,0,FALSE,0
RCC/PAC Operatingions Fund,RCC Facility,Other Expense,RCC/ PAC Catering/Entertain Ex,113000,0,FALSE,0
RCC/PAC Operatingions Fund,RCC Facility,Other Expense,RCC/ PAC Decorating Exp,2000,0,FALSE,0
RCC/PAC Operatingions Fund,RCC Facility,Other Expense,RCC/ PAC Hospitality Exp,500,0,FALSE,0
RCC/PAC Operatingions Fund,RCC Facility,Other Expense,RCC/ PAC Miscellaneous Exp,20000,0,FALSE,0
RCC/PAC Operatingions Fund,RCC Facility,Other Expense,RCC/ PAC Production Exp,23000,0,FALSE,0
RCC/PAC Operatingions Fund,RCC Facility,Other Expense,RCC/PAC Labor Expense,10000,0,FALSE,0
RCC/PAC Operatingions Fund,RCC Facility,Salaries and Wages,Event Personnel-Perm,70000,0,FALSE,0
RCC/PAC Operatingions Fund,RCC Facility,Salaries and Wages,Event Personnel-Temp,20000,0,FALSE,0
RCC/PAC Operatingions Fund,RCC Facility,Salaries and Wages,Event Production Personnel-Tem,55000,0,FALSE,0
RCC/PAC Operatingions Fund,RCC Facility,Salaries and Wages,Holiday Pay,31570,0,FALSE,0
RCC/PAC Operatingions Fund,RCC/PAC Special Events,Direct Expenses,Contractual Svcs-Other,13000,0,FALSE,0
RCC/PAC Operatingions Fund,RCC/PAC Special Events,Direct Expenses,Print Copy-Rmb,50,0,FALSE,0
RCC/PAC Operatingions Fund,RCC/PAC Special Events,Direct Expenses,Rental-Equipment,59000,0,FALSE,0
RCC/PAC Operatingions Fund,RCC/PAC Special Events,Direct Expenses,Telephone/Comm (Hard Lines),140,0,FALSE,0
RCC/PAC Operatingions Fund,RCC/PAC Special Events,Employee Benefits,Retirement Temp,740,0,FALSE,0
RCC/PAC Operatingions Fund,RCC/PAC Special Events,Miscellaneous,Promotions,2000,0,FALSE,0
RCC/PAC Operatingions Fund,RCC/PAC Special Events,Miscellaneous,Purchases For Resale,55000,0,FALSE,0
RCC/PAC Operatingions Fund,RCC/PAC Special Events,Other Expense,RCC/ PAC Advertise/Mkting Exp,4000,0,FALSE,0
RCC/PAC Operatingions Fund,RCC/PAC Special Events,Other Expense,RCC/ PAC Catering/Entertain Ex,11000,0,FALSE,0
RCC/PAC Operatingions Fund,RCC/PAC Special Events,Other Expense,RCC/ PAC Hospitality Exp,4500,0,FALSE,0
RCC/PAC Operatingions Fund,RCC/PAC Special Events,Other Expense,RCC/ PAC Miscellaneous Exp,35000,0,FALSE,0
RCC/PAC Operatingions Fund,RCC/PAC Special Events,Other Expense,RCC/ PAC Performance Fees,26000,0,FALSE,0
RCC/PAC Operatingions Fund,RCC/PAC Special Events,Other Expense,RCC/ PAC Production Exp,99400,0,FALSE,0
RCC/PAC Operatingions Fund,RCC/PAC Special Events,Other Expense,RCC/PAC Labor Expense,55000,0,FALSE,0
RCC/PAC Operatingions Fund,RCC/PAC Special Events,Salaries and Wages,Event Personnel-Perm,10000,0,FALSE,0
RCC/PAC Operatingions Fund,RCC/PAC Special Events,Salaries and Wages,Event Personnel-Temp,13000,0,FALSE,0
Revolving Fund,Community Svcs,Direct Expenses,Contractual Svcs-Other,5000,0,FALSE,0
Revolving Fund,Community Svcs,Direct Expenses,Office Supplies,5000,0,FALSE,0
Revolving Fund,Community Svcs,Direct Expenses,Operatingional & Maint Supplies,20000,0,FALSE,0
Revolving Fund,Fire Adm,Direct Expenses,Repairs-Other Equip,50000,0,FALSE,0
Revolving Fund,Fire Adm,Salaries and Wages,Salaries-Ot For Ft Staff,50000,0,FALSE,0
Revolving Fund,Fire Training,Miscellaneous,Training & Travel & Reg,9000,0,FALSE,0
Revolving Fund,Office of Sustainability,Direct Expenses,Contractual Svcs-Other,2800,0,FALSE,0
Revolving Fund,Office of Sustainability,Direct Expenses,Operatingional & Maint Supplies,2650,0,FALSE,0
Revolving Fund,Office of Sustainability,Direct Expenses,Print Copy-Rmb,1000,0,FALSE,0
Revolving Fund,Office of Sustainability,Direct Expenses,Rental-Other,500,0,FALSE,0
Revolving Fund,Office of Sustainability,Direct Expenses,Rsv-Program,1500,0,FALSE,0
Revolving Fund,Office of Sustainability,Miscellaneous,Offset Carbon Credit Purchase,50,0,FALSE,0
Revolving Fund,Office of Sustainability,Miscellaneous,Promotions,1000,0,FALSE,0
Revolving Fund,Police Administrative Services,Direct Expenses,Operatingional & Maint Supplies,28940,0,FALSE,0
Revolving Fund,PRCR - Parks -Park Maintenance,Direct Expenses,Landscape/Grounds Maint Suppli,10000,0,FALSE,0
Revolving Fund,PRCR - Parks -Park Maintenance,Direct Expenses,Rsv-Program,15000,0,FALSE,0
Revolving Fund,PRCR - Parks -Park Maintenance,Direct Expenses,Small Equipment,25000,0,FALSE,0
Revolving Fund,PRCR - Parks -Park Maintenance,Employee Benefits,Retirement,354,0,FALSE,0
Revolving Fund,PRCR - Parks -Park Maintenance,Salaries and Wages,Event Personnel-Perm,5000,0,FALSE,0
Revolving Fund,PRCR - Recreation,Direct Expenses,Broadband/Internet Fees,6000,0,FALSE,0
Revolving Fund,PRCR - Recreation,Direct Expenses,Credit Card Fees,69000,0,FALSE,0
Revolving Fund,PRCR - Recreation,Employee Benefits,Employee Benefits,1000,0,FALSE,0
Revolving Fund,PRCR - Recreation,Employee Benefits,Medicare,812,0,FALSE,0
Revolving Fund,PRCR - Recreation,Employee Benefits,Social Security,3472,0,FALSE,0
Revolving Fund,PRCR - Recreation,Miscellaneous,Postage,200,0,FALSE,0
Revolving Fund,Public Affairs-RTN,Direct Expenses,Operatingional & Maint Supplies,13000,0,FALSE,0
Revolving Fund,Public Affairs-RTN,Other Expense,Other External Agencies,40000,0,FALSE,0
Solid Waste ServicesOperatingin,Solid Waste Admin,Direct Expenses,Chemicals,5000,0,FALSE,0
Solid Waste ServicesOperatingin,Solid Waste Admin,Direct Expenses,Credit Card Fees,6000,0,FALSE,0
Solid Waste ServicesOperatingin,Solid Waste Admin,Direct Expenses,Rental-Equipment,1000,0,FALSE,0
Solid Waste ServicesOperatingin,Solid Waste Admin,Direct Expenses,Rsv-Wide Area Network,7608,0,FALSE,0
Solid Waste ServicesOperatingin,Solid Waste Admin,Direct Expenses,Security Services,1264,0,FALSE,0
Solid Waste ServicesOperatingin,Solid Waste Admin,Direct Expenses,Service Contracts-Other,68000,0,FALSE,0
Solid Waste ServicesOperatingin,Solid Waste Admin,Direct Expenses,Telephone/Comm (Hard Lines),750,0,FALSE,0
Solid Waste ServicesOperatingin,Solid Waste Admin,Employee Benefits,Medicare Supplement,45000,0,FALSE,0
Solid Waste ServicesOperatingin,Solid Waste Admin,Employee Benefits,Unemployment,40881,0,FALSE,0
Solid Waste ServicesOperatingin,Solid Waste Admin,Interfund Transfers In/Out,To 310 W/S Reimb,10000,0,FALSE,0
Solid Waste ServicesOperatingin,Solid Waste Admin,Interfund Transfers In/Out,To 460 Reimb Engineering Stm W,3000,0,FALSE,0
Solid Waste ServicesOperatingin,Solid Waste Admin,Miscellaneous,Organization Dev & Training,50000,0,FALSE,0
Solid Waste ServicesOperatingin,Solid Waste Admin,Salaries and Wages,Expense Allowance,3661,0,FALSE,0
Solid Waste ServicesOperatingin,Solid Waste Recycling,Direct Expenses,Service Contracts-Other,14545,0,FALSE,0
Solid Waste ServicesOperatingin,Solid Waste Residential Collec,Capital Equipment,Communications Equip,5600,0,FALSE,0
Solid Waste ServicesOperatingin,Solid Waste Residential Collec,Direct Expenses,Waste Removal Service,166405,0,FALSE,0
Solid Waste ServicesOperatingin,Solid Waste Residential Collec,Salaries and Wages,Agency Personnel-Temp,93600,0,FALSE,0
Solid Waste ServicesOperatingin,Solid Waste Residential Collec,Salaries and Wages,Salaries-Pt Temp/Seasonal,50500,0,FALSE,0
Solid Waste ServicesOperatingin,Solid Waste Residential Collec,Salaries and Wages,Salary Reserve,60000,0,FALSE,0
Solid Waste ServicesOperatingin,Solid Waste Yardwaste Ctr,Direct Expenses,Computer Operatingions & Access,1462,0,FALSE,0
Solid Waste ServicesOperatingin,Solid Waste Yardwaste Ctr,Direct Expenses,Electric Service,8000,0,FALSE,0
Solid Waste ServicesOperatingin,Solid Waste Yardwaste Ctr,Direct Expenses,Equipment Usage Charge,268800,0,FALSE,0
Solid Waste ServicesOperatingin,Solid Waste Yardwaste Ctr,Direct Expenses,Office Supplies,250,0,FALSE,0
Solid Waste ServicesOperatingin,Solid Waste Yardwaste Ctr,Direct Expenses,Rental-Equipment,20000,0,FALSE,0
Solid Waste ServicesOperatingin,Solid Waste Yardwaste Ctr,Direct Expenses,Repairs-Bldg/Structure,20000,0,FALSE,0
Solid Waste ServicesOperatingin,Solid Waste Yardwaste Ctr,Direct Expenses,Rsv-Other,300000,0,FALSE,0
Solid Waste ServicesOperatingin,Solid Waste Yardwaste Ctr,Direct Expenses,Rsv-Transfer Station Operatingi,6200,0,FALSE,0
Solid Waste ServicesOperatingin,Solid Waste Yardwaste Ctr,Direct Expenses,Wan Data Line,4200,0,FALSE,0
Utility Debt Service Fund,Treasury Office,Direct Expenses,Arbitrage Rebate Consult,25000,0,FALSE,0
Utility Debt Service Fund,Treasury Office,Direct Expenses,Bond Liquidity Fees,750000,0,FALSE,0
Utility Debt Service Fund,Treasury Office,Direct Expenses,Trustee Escrow Agent Expense,50000,0,FALSE,0
Walnut Creek Amph Operatinging ,Walnut Creek Amphitheatre,Direct Expenses,Operatingional & Maint Supplies,100000,0,FALSE,0
Walnut Creek Amph Operatinging ,Walnut Creek Amphitheatre,Interfund Transfers In/Out,To 190 Debt Svc,1000000,0,FALSE,0
Watershed Protection Fee Fund,Non-Departmental,Interfund Transfers In/Out,To 320 Water Bond,2250000,0,FALSE,0
General Fund,City Clerk,Employee Benefits,Retirement Temp,682,0,FALSE,0
General Fund,City Manager,Employee Benefits,Medicare Temp,574,0,FALSE,0
Public Utilities Fund,Public Utilities-Spec Appropri,Employee Benefits,Employee Benefits,862,0,FALSE,0
General Fund,Police Special Operatingions,Employee Benefits,FICA Temp,34105,0,FALSE,0
General Fund,Office of the Fire Marshall,Direct Expenses,Photocopy Maint,233,0,FALSE,0
General Fund,Police Special Operatingions,Employee Benefits,Retirement Temp,40410,0,FALSE,0
General Fund,City Attorney,Miscellaneous,Records Storage Retention Svcs,21041,0,FALSE,0
General Fund,City Clerk,Employee Benefits,FICA Temp,776,0,FALSE,0
RCC/PAC Operatingions Fund,Performing Arts Center,Salaries and Wages,Salaries-Pt Temp/Seasonal,41006,0,FALSE,0
RCC/PAC Operatingions Fund,RCC Facility,Direct Expenses,Professional Svcs-Other,323629,0,FALSE,0
General Fund,PRCR - Strategic Plan & Devel,Employee Benefits,Retirement Temp,15,0,FALSE,0
Public Utilities Fund,Public Utilities Facilities Sup,Employee Benefits,FICA Temp,2011,0,FALSE,0
General Fund,Information Technology Admin,Employee Benefits,FICA Temp,2208,0,FALSE,0
Public Utilities Fund,Public Utilities Meters,Employee Benefits,Medicare Temp,5165,0,FALSE,0
E 911 State Tax Fund-Operatingi,Emergency Communications,Direct Expenses,Rsv-Wide Area Network,744,0,FALSE,0
Public Utilities Fund,Public Utilities Meters,Employee Benefits,FICA Temp,22084,0,FALSE,0
Public Utilities Fund,Public Utilities Water Distribu,Employee Benefits,FICA Temp,27516,0,FALSE,0
General Fund,Fire Adm,Employee Benefits,Retirement Temp,522,0,FALSE,0
General Fund,Police Chiefs Office,Employee Benefits,FICA Temp,1850,0,FALSE,0
General Fund,Community Svcs,Employee Benefits,FICA Temp,22800,0,FALSE,0
General Fund,Office of Economic Development,Employee Benefits,FICA Temp,112,0,FALSE,0
